"Date","Time","Open","High","Low","Close","Up","Down"
08/24/2021,03:00,18850.0,19125.0,18675.0,18737.5,0,0
08/24/2021,04:00,18712.5,19250.0,18650.0,18887.5,0,0
08/24/2021,05:00,18912.5,19025.0,18650.0,18812.5,0,0
08/24/2021,06:00,18812.5,19025.0,18712.5,18812.5,0,0
08/24/2021,07:00,18787.5,18975.0,18450.0,18950.0,0,0
08/24/2021,08:00,18950.0,19275.0,18825.0,19137.5,0,0
08/24/2021,09:00,19137.5,19550.0,19037.5,19487.5,0,0
08/24/2021,10:00,19500.0,19887.5,19412.5,19675.0,0,0
08/24/2021,11:00,19725.0,19800.0,19475.0,19650.0,0,0
08/24/2021,12:00,19650.0,19737.5,19312.5,19387.5,0,0
08/24/2021,13:00,19350.0,19412.5,18812.5,19125.0,0,0
08/24/2021,14:00,19125.0,19575.0,19025.0,19287.5,0,0
08/24/2021,15:00,19300.0,19925.0,19175.0,19400.0,0,0
08/24/2021,16:00,19450.0,19800.0,19300.0,19425.0,0,0
08/24/2021,17:00,19337.5,19687.5,19262.5,19600.0,0,0
08/24/2021,18:00,19550.0,19850.0,19525.0,19725.0,0,0
08/25/2021,02:00,19775.0,19962.5,19537.5,19862.5,0,0
08/25/2021,03:00,19787.5,20075.0,19625.0,19987.5,0,0
08/25/2021,04:00,20012.5,20200.0,19900.0,20100.0,0,0
08/25/2021,05:00,20125.0,20150.0,19875.0,20050.0,0,0
08/25/2021,06:00,20075.0,20125.0,19775.0,19912.5,0,0
08/25/2021,07:00,19887.5,20075.0,19725.0,19800.0,0,0
08/25/2021,08:00,19850.0,20200.0,19825.0,20062.5,0,0
08/25/2021,09:00,20062.5,20200.0,19762.5,20025.0,0,0
08/25/2021,10:00,20000.0,20125.0,19712.5,19862.5,0,0
08/25/2021,11:00,19887.5,19925.0,19587.5,19687.5,0,0
08/25/2021,12:00,19750.0,19875.0,19625.0,19775.0,0,0
08/25/2021,13:00,19775.0,19825.0,19325.0,19600.0,0,0
08/25/2021,14:00,19650.0,20000.0,19537.5,19725.0,0,0
08/25/2021,15:00,19775.0,19900.0,19525.0,19675.0,0,0
08/25/2021,16:00,19650.0,19762.5,19187.5,19612.5,0,0
08/25/2021,17:00,19637.5,19637.5,19175.0,19475.0,0,0
08/25/2021,18:00,19450.0,19737.5,19237.5,19637.5,0,0
08/26/2021,02:00,19400.0,19850.0,19337.5,19712.5,0,0
08/26/2021,03:00,19712.5,19937.5,19537.5,19612.5,0,0
08/26/2021,04:00,19562.5,19750.0,19437.5,19575.0,0,0
08/26/2021,05:00,19537.5,19750.0,19375.0,19600.0,0,0
08/26/2021,06:00,19650.0,19650.0,19425.0,19575.0,0,0
08/26/2021,07:00,19575.0,19775.0,19187.5,19562.5,0,0
08/26/2021,08:00,19612.5,19800.0,19250.0,19650.0,0,0
08/26/2021,09:00,19675.0,19962.5,19400.0,19587.5,0,0
08/26/2021,10:00,19587.5,19775.0,19375.0,19637.5,0,0
08/26/2021,11:00,19612.5,19787.5,19387.5,19400.0,0,0
08/26/2021,12:00,19400.0,19625.0,19350.0,19525.0,0,0
08/26/2021,13:00,19475.0,19575.0,19325.0,19387.5,0,0
08/26/2021,14:00,19362.5,19487.5,19075.0,19300.0,0,0
08/26/2021,15:00,19325.0,19550.0,19150.0,19450.0,0,0
08/26/2021,16:00,19425.0,19512.5,19012.5,19400.0,0,0
08/26/2021,17:00,19425.0,19625.0,19162.5,19350.0,0,0
08/26/2021,18:00,19350.0,19450.0,19087.5,19312.5,0,0
08/27/2021,02:00,19550.0,19600.0,19125.0,19425.0,0,0
08/27/2021,03:00,19462.5,19575.0,19175.0,19350.0,0,0
08/27/2021,04:00,19287.5,19575.0,19025.0,19400.0,0,0
08/27/2021,05:00,19350.0,19575.0,19225.0,19400.0,0,0
08/27/2021,06:00,19375.0,19525.0,19200.0,19412.5,0,0
08/27/2021,07:00,19412.5,19650.0,19225.0,19525.0,0,0
08/27/2021,08:00,19550.0,19950.0,19275.0,19625.0,0,0
08/27/2021,09:00,19675.0,19775.0,19450.0,19487.5,0,0
08/27/2021,10:00,19462.5,19600.0,19275.0,19362.5,0,0
08/27/2021,11:00,19412.5,19500.0,19237.5,19312.5,0,0
08/27/2021,12:00,19362.5,19437.5,19162.5,19225.0,0,0
08/27/2021,13:00,19225.0,19337.5,18887.5,19137.5,0,0
08/27/2021,14:00,19112.5,19362.5,18875.0,19225.0,0,0
08/27/2021,15:00,19250.0,19425.0,18825.0,19050.0,0,0
08/27/2021,16:00,19025.0,19175.0,18350.0,18800.0,0,0
08/27/2021,17:00,18825.0,19175.0,18700.0,19025.0,0,0
08/27/2021,18:00,19000.0,19050.0,18700.0,18725.0,0,0
08/31/2021,02:00,18762.5,19162.5,18487.5,18775.0,0,0
08/31/2021,03:00,18750.0,18925.0,18500.0,18850.0,0,0
08/31/2021,04:00,18775.0,18937.5,18437.5,18737.5,0,0
08/31/2021,05:00,18712.5,18825.0,18487.5,18725.0,0,0
08/31/2021,06:00,18725.0,18850.0,18500.0,18550.0,0,0
08/31/2021,07:00,18575.0,18850.0,18425.0,18700.0,0,0
08/31/2021,08:00,18725.0,18950.0,18425.0,18625.0,0,0
08/31/2021,09:00,18600.0,18762.5,18425.0,18700.0,0,0
08/31/2021,10:00,18700.0,18750.0,18337.5,18575.0,0,0
08/31/2021,11:00,18575.0,18700.0,18300.0,18375.0,0,0
08/31/2021,12:00,18437.5,18700.0,18337.5,18512.5,0,0
08/31/2021,13:00,18537.5,18650.0,18162.5,18562.5,0,0
08/31/2021,14:00,18587.5,18675.0,18237.5,18475.0,0,0
08/31/2021,15:00,18500.0,18725.0,18300.0,18475.0,0,0
08/31/2021,16:00,18450.0,18850.0,18337.5,18475.0,0,0
08/31/2021,17:00,18500.0,18812.5,18425.0,18762.5,0,0
08/31/2021,18:00,18737.5,18962.5,18550.0,18700.0,0,0
09/01/2021,02:00,19375.0,19400.0,18687.5,18925.0,0,0
09/01/2021,03:00,18925.0,19050.0,18587.5,18737.5,0,0
09/01/2021,04:00,18762.5,19362.5,18562.5,19150.0,0,0
09/01/2021,05:00,19200.0,19350.0,18875.0,19075.0,0,0
09/01/2021,06:00,19100.0,19325.0,18950.0,18950.0,0,0
09/01/2021,07:00,19025.0,20075.0,18325.0,19200.0,0,0
09/01/2021,08:00,19200.0,19300.0,18862.5,19075.0,0,0
09/01/2021,09:00,19062.5,19225.0,18925.0,19162.5,0,0
09/01/2021,10:00,19112.5,19250.0,18925.0,19075.0,0,0
09/01/2021,11:00,19050.0,19300.0,18675.0,18812.5,0,0
09/01/2021,12:00,18812.5,18937.5,18375.0,18762.5,0,0
09/01/2021,13:00,18787.5,19062.5,18362.5,18900.0,0,0
09/01/2021,14:00,18900.0,19062.5,18412.5,18837.5,0,0
09/01/2021,15:00,18937.5,19262.5,18675.0,19012.5,0,0
09/01/2021,16:00,19000.0,19275.0,18825.0,19025.0,0,0
09/01/2021,17:00,19025.0,19325.0,18925.0,19050.0,0,0
09/01/2021,18:00,19087.5,19262.5,18787.5,19025.0,0,0
09/02/2021,02:00,18625.0,19200.0,18575.0,19000.0,0,0
09/02/2021,03:00,19025.0,19312.5,18950.0,19162.5,0,0
09/02/2021,04:00,19212.5,19350.0,19062.5,19275.0,0,0
09/02/2021,05:00,19275.0,19400.0,19175.0,19250.0,0,0
09/02/2021,06:00,19200.0,19375.0,19150.0,19250.0,0,0
09/02/2021,07:00,19275.0,19550.0,19125.0,19250.0,0,0
09/02/2021,08:00,19250.0,19412.5,18825.0,19137.5,0,0
09/02/2021,09:00,19112.5,19350.0,18887.5,19050.0,0,0
09/02/2021,10:00,19050.0,19137.5,18825.0,18962.5,0,0
09/02/2021,11:00,18975.0,19287.5,18912.5,19100.0,0,0
09/02/2021,12:00,19075.0,19262.5,18812.5,18950.0,0,0
09/02/2021,13:00,18900.0,19225.0,18900.0,19150.0,0,0
09/02/2021,14:00,19150.0,19337.5,18850.0,19150.0,0,0
09/02/2021,15:00,19150.0,19400.0,18912.5,19125.0,0,0
09/02/2021,16:00,19125.0,19400.0,19025.0,19137.5,0,0
09/02/2021,17:00,19137.5,19375.0,19050.0,19212.5,0,0
09/02/2021,18:00,19237.5,19350.0,19025.0,19162.5,0,0
